"","Country","Year","male_death_rate","female_death_rate"
"12","Albania",2000,39.09,8.5
"13","Albania",2001,30.61,6.68
"14","Albania",2002,34,9.25
"15","Albania",2003,36.8,9.51
"16","Albania",2004,32.13,8.95
"17","Albania",2005,28.65,6.38
"18","Albania",2006,28.07,7.28
"19","Albania",2007,25.83,5.45
"20","Albania",2008,29.83,6.55
"21","Albania",2009,27.84,6.85
"22","Albania",2010,19.26,0.51
"52","Antigua and Barbuda",2000,7.59,6.43
"53","Antigua and Barbuda",2001,2.91,2.96
"54","Antigua and Barbuda",2002,0,2.97
"55","Antigua and Barbuda",2003,14.02,2.18
"56","Antigua and Barbuda",2004,3.57,3.11
"57","Antigua and Barbuda",2005,8.77,2.79
"58","Antigua and Barbuda",2006,8.19,2.52
"59","Antigua and Barbuda",2007,11.28,6.59
"60","Antigua and Barbuda",2008,5.05,4.58
"61","Antigua and Barbuda",2009,23.53,3.85
"62","Antigua and Barbuda",2012,18.12,2.2
"63","Antigua and Barbuda",2013,4.64,2.23
"64","Antigua and Barbuda",2014,1.89,4.11
"65","Antigua and Barbuda",2015,4.36,0
"66","Antigua and Barbuda",2016,16.83,1.91
"67","Antigua and Barbuda",2017,8.37,1.93
"96","Argentina",2000,39.49,7.66
"97","Argentina",2001,36.77,7.89
"98","Argentina",2002,36.11,8.04
"99","Argentina",2003,36.06,8.25
"100","Argentina",2004,35.18,8.71
"101","Argentina",2005,34.58,8.71
"102","Argentina",2006,35.04,9.1
"103","Argentina",2007,33.99,9.1
"104","Argentina",2008,33.33,9.33
"105","Argentina",2009,32.48,9.49
"106","Argentina",2010,31.72,9.59
"107","Argentina",2011,31.57,10.04
"108","Argentina",2012,30.61,9.99
"109","Argentina",2013,29.42,10.43
"110","Argentina",2014,28.71,10.62
"111","Argentina",2015,29.57,10.69
"112","Argentina",2016,27.84,10.5
"113","Argentina",2017,27.18,10.48
"114","Argentina",2018,25.88,10.11
"115","Argentina",2019,24.76,10.4
"133","Armenia",2000,40.77,6.01
"134","Armenia",2001,42.02,5.88
"135","Armenia",2002,48.19,6.74
"136","Armenia",2003,49.22,6.63
"137","Armenia",2006,63.47,9.71
"138","Armenia",2007,63.12,8.54
"139","Armenia",2008,64.3,10.35
"140","Armenia",2009,65.75,11.09
"141","Armenia",2010,62.31,8.81
"142","Armenia",2011,61.25,9.41
"143","Armenia",2012,56.1,8.92
"144","Armenia",2013,52.58,8.18
"145","Armenia",2014,57.37,7.99
"146","Armenia",2015,59.03,9.16
"147","Armenia",2016,56.99,7.71
"148","Armenia",2017,51.12,9.04
"149","Armenia",2018,48.05,7.31
"150","Armenia",2019,54.56,9.32
"201","Australia",2000,36.98,15.79
"202","Australia",2001,36.33,15.88
"203","Australia",2002,35.51,16.34
"204","Australia",2003,33,15.52
"205","Australia",2004,33.92,15.49
"206","Australia",2006,32.46,16.22
"207","Australia",2007,30.96,16.6
"208","Australia",2008,31.88,16.12
"209","Australia",2009,29.32,16.36
"210","Australia",2010,29.39,16.61
"211","Australia",2011,28.99,16.36
"212","Australia",2012,27.54,16.27
"213","Australia",2013,27.29,15.64
"214","Australia",2014,26.27,15.72
"215","Australia",2015,25.8,16.26
"216","Australia",2016,25.02,15.31
"217","Australia",2017,23.71,14.56
"218","Australia",2018,23.6,15.24
"219","Australia",2019,23.59,14.89
"220","Australia",2020,20.89,14.51
"266","Austria",2000,42.13,13.1
"267","Austria",2001,40.82,12.12
"268","Austria",2002,42.02,13.41
"269","Austria",2003,40.04,12.74
"270","Austria",2004,39.06,13.67
"271","Austria",2005,38.21,12.95
"272","Austria",2006,37.83,13.1
"273","Austria",2007,35.41,14.74
"274","Austria",2008,36.83,14.75
"275","Austria",2009,35.96,14.43
"276","Austria",2010,35.25,14.98
"277","Austria",2011,33.43,15.37
"278","Austria",2012,32.92,15.82
"279","Austria",2013,33.11,14.87
"280","Austria",2014,32.69,16.63
"281","Austria",2015,31.2,16.54
"282","Austria",2016,30.9,16.86
"283","Austria",2017,29.96,15.82
"284","Austria",2018,30.36,16.31
"285","Austria",2019,27.79,17
"286","Austria",2020,28.04,16.04
"304","Azerbaijan",2000,21.9,4.21
"305","Azerbaijan",2001,22.95,4.39
"306","Azerbaijan",2002,23.17,5.11
"307","Azerbaijan",2003,25.56,4.89
"308","Azerbaijan",2004,23.82,5
"309","Azerbaijan",2007,13.08,2.98
"325","Bahamas",2000,14.97,7.75
"326","Bahamas",2001,12.52,5.42
"327","Bahamas",2002,20.33,1.54
"328","Bahamas",2003,25.6,6.2
"329","Bahamas",2004,12.49,1.59
"330","Bahamas",2005,18.27,6.37
"331","Bahamas",2006,14.84,5.03
"332","Bahamas",2007,16.27,4.03
"333","Bahamas",2008,18.42,4.7
"334","Bahamas",2009,15.99,7.52
"335","Bahamas",2010,17.98,7.94
"336","Bahamas",2011,19.75,5.58
"337","Bahamas",2012,12.49,4.65
"338","Bahamas",2013,10.23,5.69
"339","Bahamas",2014,9.24,3.96
"340","Bahamas",2015,12.23,4.88
"347","Bahrain",2000,25.54,12.23
"348","Bahrain",2001,36.16,7.42
"349","Bahrain",2002,40.45,6.39
"350","Bahrain",2003,28.51,12.17
"351","Bahrain",2004,27.12,10.28
"352","Bahrain",2005,15.2,10.07
"353","Bahrain",2006,16.8,7.77
"354","Bahrain",2007,15.84,5.18
"355","Bahrain",2008,15.55,10.76
"356","Bahrain",2009,12.36,6.64
"357","Bahrain",2010,16.68,6.6
"358","Bahrain",2011,14.77,6.68
"359","Bahrain",2012,13.47,4
"360","Bahrain",2013,9.79,5.54
"361","Bahrain",2014,7.68,1.22
"397","Barbados",2000,9.71,2.56
"398","Barbados",2001,6.88,1.46
"399","Barbados",2002,7.16,4.94
"400","Barbados",2003,11.6,3.37
"401","Barbados",2004,9.7,2.02
"402","Barbados",2005,9.14,5.05
"403","Barbados",2006,8.17,0.81
"404","Barbados",2007,7.53,2.11
"405","Barbados",2008,8.91,1.9
"406","Barbados",2009,9.08,4.97
"407","Barbados",2010,7.84,5.52
"408","Barbados",2011,6.99,6.56
"409","Barbados",2012,11.81,4.25
"410","Barbados",2013,7.95,4.06
"428","Belarus",2000,60.77,4.33
"429","Belarus",2001,60.32,4.23
"430","Belarus",2002,59.8,4.23
"431","Belarus",2003,59.06,4.01
"432","Belarus",2007,52.7,3.96
"433","Belarus",2008,52.93,3.97
"434","Belarus",2009,51.23,3.82
"435","Belarus",2010,51.76,4.16
"436","Belarus",2011,49.76,3.91
"437","Belarus",2013,43.5,3.62
"438","Belarus",2014,43.77,3.52
"439","Belarus",2018,44.52,3.79
"486","Belgium",2000,65.85,11.91
"487","Belgium",2001,65.66,11.63
"488","Belgium",2002,63.01,12.03
"489","Belgium",2003,60.73,12.63
"490","Belgium",2004,57.91,13.04
"491","Belgium",2005,59.55,14.28
"492","Belgium",2006,57.85,14.73
"493","Belgium",2007,55.74,14.82
"494","Belgium",2008,55.97,15.51
"495","Belgium",2009,53.9,15.14
"496","Belgium",2010,53.78,16.69
"497","Belgium",2011,51.6,17.52
"498","Belgium",2012,47.67,16.22
"499","Belgium",2013,46.68,17.37
"500","Belgium",2014,45.87,17.17
"501","Belgium",2015,42.41,17.23
"502","Belgium",2016,41.58,16.77
"503","Belgium",2017,37.24,15.61
"504","Belgium",2018,36.08,15.87
"537","Belize",2000,15.78,8.08
"538","Belize",2001,20.51,4.74
"539","Belize",2002,32.32,8.02
"540","Belize",2003,17.74,3.16
"541","Belize",2004,15.59,3.16
"542","Belize",2005,28.64,9.03
"543","Belize",2006,17.88,14.11
"544","Belize",2007,19.45,7.15
"545","Belize",2008,16.49,8.73
"546","Belize",2009,10.83,7.34
"547","Belize",2010,10.39,7.58
"548","Belize",2011,20.5,3.07
"549","Belize",2012,11.16,5.02
"550","Belize",2013,12.99,3.4
"551","Belize",2014,12.17,2.98
"552","Belize",2015,15.23,7.83
"553","Belize",2016,13.88,2.94
"561","Bosnia and Herzegovina",2011,53.74,10.69
"562","Bosnia and Herzegovina",2014,50.32,11.04
"563","Bosnia and Herzegovina",2016,50.49,13.4
"564","Bosnia and Herzegovina",2017,48.07,13.44
"565","Bosnia and Herzegovina",2018,49.58,12.31
"566","Bosnia and Herzegovina",2019,49.13,14.39
"567","Bosnia and Herzegovina",2020,45.76,12.09
"589","Brazil",2000,19.04,6.95
"590","Brazil",2001,18.88,6.95
"591","Brazil",2002,18.77,6.89
"592","Brazil",2003,18.66,7.3
"593","Brazil",2004,19.16,7.52
"594","Brazil",2005,19.06,7.63
"595","Brazil",2006,18.52,7.98
"596","Brazil",2007,18.9,8.22
"597","Brazil",2008,18.66,8.41
"598","Brazil",2009,18.26,8.42
"599","Brazil",2010,18.19,8.57
"600","Brazil",2011,17.54,8.78
"601","Brazil",2012,17.6,8.95
"602","Brazil",2013,17.62,9.04
"603","Brazil",2014,17.34,9.28
"604","Brazil",2015,17.18,9.52
"605","Brazil",2016,17.03,9.44
"606","Brazil",2017,16.56,9.51
"607","Brazil",2018,16.19,9.59
"608","Brazil",2019,15.65,9.34
"613","Brunei",2000,36.3,33.86
"614","Brunei",2001,29.66,29.51
"615","Brunei",2002,33.95,36.02
"616","Brunei",2003,35.97,16.02
"617","Brunei",2004,32.5,24.44
"618","Brunei",2005,48.47,19.68
"619","Brunei",2006,25.63,19.69
"620","Brunei",2007,36.56,26.03
"621","Brunei",2008,36.02,22.31
"622","Brunei",2009,23.53,15.3
"623","Brunei",2010,27.53,18.38
"624","Brunei",2011,28.86,19.53
"625","Brunei",2012,22.98,19.72
"626","Brunei",2013,32.01,25.7
"627","Brunei",2014,31.64,23.07
"628","Brunei",2015,21.23,20.33
"629","Brunei",2016,25.33,13.87
"630","Brunei",2017,25.02,14.51
"631","Brunei",2018,15.9,16.39
"632","Brunei",2019,19.15,21.6
"669","Bulgaria",2000,40.38,7.19
"670","Bulgaria",2001,40.88,7.03
"671","Bulgaria",2002,42.84,7.01
"672","Bulgaria",2003,44.29,6.95
"673","Bulgaria",2004,43.94,7.44
"674","Bulgaria",2005,48,8.8
"675","Bulgaria",2006,47.19,7.76
"676","Bulgaria",2007,47.37,8.45
"677","Bulgaria",2008,48.88,8.16
"678","Bulgaria",2009,45.65,8.07
"679","Bulgaria",2010,46.06,7.6
"680","Bulgaria",2011,45.16,8.85
"681","Bulgaria",2012,47.39,9.32
"682","Bulgaria",2013,48.02,8.69
"683","Bulgaria",2014,44.26,9.78
"684","Bulgaria",2015,44.01,9.77
"685","Bulgaria",2016,42.34,9.21
"686","Bulgaria",2017,41.62,9.55
"687","Bulgaria",2018,40.34,10.49
"688","Bulgaria",2019,41.75,10.68
"739","Canada",2000,49.76,27.69
"740","Canada",2001,49.87,27.56
"741","Canada",2002,49.69,28.28
"742","Canada",2003,48.08,28.23
"743","Canada",2004,46.4,28.86
"744","Canada",2005,45.88,28.59
"745","Canada",2006,44.01,29.22
"746","Canada",2007,43.58,28.71
"747","Canada",2008,41.74,28.62
"748","Canada",2009,41.3,28.51
"749","Canada",2010,39.8,28.33
"750","Canada",2011,38.42,27.37
"751","Canada",2012,37.77,27.41
"752","Canada",2013,35.53,27.17
"753","Canada",2014,35.88,26.94
"754","Canada",2015,33.79,26.12
"755","Canada",2016,32.12,25.62
"756","Canada",2017,31.51,24.76
"757","Canada",2018,30.06,23.67
"758","Canada",2019,28.75,22.53
"760","Cape Verde",2011,17.52,5.55
"806","Chile",2000,21.52,7.81
"807","Chile",2001,21.61,8.2
"808","Chile",2002,21.14,8.21
"809","Chile",2003,19.89,8
"810","Chile",2004,21.36,8.32
"811","Chile",2005,20.94,8.69
"812","Chile",2006,21.17,8.92
"813","Chile",2007,20.26,8.91
"814","Chile",2008,18.61,8.76
"815","Chile",2009,19.62,8.83
"816","Chile",2010,20.17,8.66
"817","Chile",2011,19.82,9.3
"818","Chile",2012,18.69,9.81
"819","Chile",2013,19.37,9.89
"820","Chile",2014,18.91,9.61
"821","Chile",2015,18.37,9.55
"822","Chile",2016,17.96,9.42
"823","Chile",2017,17.45,9.69
"824","Chile",2018,17.39,9.21
"863","Colombia",2000,15.3,7.69
"864","Colombia",2001,15.39,7.7
"865","Colombia",2002,15.43,7.83
"866","Colombia",2003,15.23,8.27
"867","Colombia",2004,16.06,8.4
"868","Colombia",2005,15.92,8.28
"869","Colombia",2006,15.74,8.28
"870","Colombia",2007,15.53,7.87
"871","Colombia",2008,14.83,7.7
"872","Colombia",2009,14.42,7.59
"873","Colombia",2010,14,7.67
"874","Colombia",2011,13.52,7.27
"875","Colombia",2012,12.76,7.57
"876","Colombia",2013,13.31,7.14
"877","Colombia",2014,13.34,7.54
"878","Colombia",2015,12.99,7.74
"879","Colombia",2016,12.74,7.32
"880","Colombia",2017,12.58,7.25
"881","Colombia",2018,11.52,7.15
"882","Colombia",2019,10.86,6.37
"922","Costa Rica",2000,12.91,5.91
"923","Costa Rica",2001,13.17,4.89
"924","Costa Rica",2002,11.21,4.13
"925","Costa Rica",2003,11.9,5.18
"926","Costa Rica",2004,10.88,5.09
"927","Costa Rica",2005,10.29,4.88
"928","Costa Rica",2006,9.69,3.31
"929","Costa Rica",2007,8.94,3.45
"930","Costa Rica",2008,7.74,3.43
"931","Costa Rica",2009,8.05,3.47
"932","Costa Rica",2010,9.41,4.14
"933","Costa Rica",2011,9.79,3.63
"934","Costa Rica",2012,9.19,3.7
"935","Costa Rica",2013,8.6,3.51
"936","Costa Rica",2014,7.68,3.78
"937","Costa Rica",2015,7.65,4.06
"938","Costa Rica",2016,7.31,4.03
"939","Costa Rica",2017,7.22,3.54
"940","Costa Rica",2018,8.35,4.22
"941","Costa Rica",2019,8.62,4.41
"942","Costa Rica",2020,8.64,3.47
"958","Croatia",2000,80.64,13.26
"959","Croatia",2001,70.57,11.08
"960","Croatia",2002,66.59,11.72
"961","Croatia",2003,66,12.39
"962","Croatia",2004,65.49,12.08
"963","Croatia",2005,63.63,12.32
"964","Croatia",2006,64.93,13.04
"965","Croatia",2007,64.6,13.17
"966","Croatia",2008,62.9,13.7
"967","Croatia",2009,63.09,13.36
"968","Croatia",2010,60.63,14.34
"969","Croatia",2011,59.86,15.83
"970","Croatia",2012,59.2,14.66
"971","Croatia",2013,58.13,15.34
"972","Croatia",2014,56.96,16.4
"973","Croatia",2015,57.21,15.5
"974","Croatia",2016,57.19,15.42
"975","Croatia",2017,56.98,17.85
"976","Croatia",2019,51.73,17.74
"1010","Cuba",2000,41.51,17.4
"1011","Cuba",2001,41.05,17.37
"1012","Cuba",2002,43.58,18.45
"1013","Cuba",2003,44.91,19.19
"1014","Cuba",2004,44.46,19.22
"1015","Cuba",2005,43.78,19.95
"1016","Cuba",2006,43.46,19.92
"1017","Cuba",2007,45.2,20.57
"1018","Cuba",2008,45.1,21.83
"1019","Cuba",2009,44.22,21.29
"1020","Cuba",2010,43.06,21.66
"1021","Cuba",2011,40.94,20.5
"1022","Cuba",2012,41.01,20.3
"1023","Cuba",2013,40.3,20.8
"1024","Cuba",2014,40.94,21.17
"1025","Cuba",2015,41.04,20.37
"1026","Cuba",2016,39.67,20.4
"1027","Cuba",2017,39.87,20.39
"1028","Cuba",2018,38.27,19.97
"1029","Cuba",2019,36.35,20.56
"1031","Cyprus",2000,10.05,0.62
"1032","Cyprus",2004,30.04,4.1
"1033","Cyprus",2005,26.04,8.91
"1034","Cyprus",2006,23.87,5.64
"1035","Cyprus",2007,23.84,6.24
"1036","Cyprus",2008,25.83,5.72
"1037","Cyprus",2009,29.91,7.61
"1038","Cyprus",2010,25.72,5.72
"1039","Cyprus",2011,30.89,7.15
"1040","Cyprus",2012,32.45,7.06
"1041","Cyprus",2013,31.82,4.53
"1042","Cyprus",2014,30.49,6.5
"1043","Cyprus",2015,27.56,7.16
"1044","Cyprus",2016,27.87,7.91
"1045","Cyprus",2017,34.31,6.63
"1046","Cyprus",2018,28.37,7.84
"1061","Czechia",2000,68.51,13.88
"1062","Czechia",2001,64.66,14.5
"1063","Czechia",2002,63.68,13.82
"1064","Czechia",2003,61.41,14.34
"1065","Czechia",2004,62.13,14.2
"1066","Czechia",2005,58.3,14.31
"1067","Czechia",2006,55.84,14.95
"1068","Czechia",2007,53.88,14.54
"1069","Czechia",2008,51.12,14.58
"1070","Czechia",2009,50.62,14.25
"1071","Czechia",2010,49.96,14.75
"1072","Czechia",2011,47.48,15.77
"1073","Czechia",2012,45.57,16
"1074","Czechia",2013,43.09,15.09
"1075","Czechia",2014,40.68,14.75
"1076","Czechia",2015,39.39,14.75
"1077","Czechia",2016,38.97,14.51
"1078","Czechia",2017,38.33,15.28
"1079","Czechia",2018,34.91,15.25
"1080","Czechia",2019,34.97,14.69
"1081","Czechia",2020,33.7,14.55
"1131","Denmark",2000,50.78,30.44
"1132","Denmark",2001,48.87,31.27
"1133","Denmark",2002,46.32,30.54
"1134","Denmark",2003,47.11,31.37
"1135","Denmark",2004,47.82,32.82
"1136","Denmark",2005,45.7,33.88
"1137","Denmark",2006,47.82,33.67
"1138","Denmark",2007,41.67,30.17
"1139","Denmark",2008,43.27,32.39
"1140","Denmark",2009,40.51,32.42
"1141","Denmark",2010,40.71,32.22
"1142","Denmark",2011,37.39,31.02
"1143","Denmark",2012,39.24,31.04
"1144","Denmark",2013,37.55,29.84
"1145","Denmark",2014,37.65,29.28
"1146","Denmark",2015,34.79,29.35
"1147","Denmark",2016,33.73,28.48
"1148","Denmark",2017,33.33,27.34
"1149","Denmark",2018,29.29,25.29
"1184","Dominican Republic",2000,9.02,3.78
"1185","Dominican Republic",2001,9.28,5.46
"1186","Dominican Republic",2002,9.24,5.93
"1187","Dominican Republic",2003,8.64,5.08
"1188","Dominican Republic",2004,8.79,5.02
"1189","Dominican Republic",2005,9.05,5.28
"1190","Dominican Republic",2006,7.74,5.14
"1191","Dominican Republic",2007,7.87,4.58
"1192","Dominican Republic",2008,7.6,4.19
"1193","Dominican Republic",2009,8.3,4.08
"1194","Dominican Republic",2010,7.94,5.34
"1195","Dominican Republic",2011,9.35,5.4
"1196","Dominican Republic",2012,7.83,5.33
"1197","Dominican Republic",2013,8.43,5.22
"1198","Dominican Republic",2014,8.12,4.85
"1199","Dominican Republic",2015,5.76,3.94
"1200","Dominican Republic",2016,6.33,4.73
"1201","Dominican Republic",2017,6.13,4.35
"1202","Dominican Republic",2018,7.02,4.7
"1236","Ecuador",2000,7.86,3.78
"1237","Ecuador",2001,7.74,4.29
"1238","Ecuador",2002,8.59,4.11
"1239","Ecuador",2003,7.52,3.75
"1240","Ecuador",2004,7.76,4.79
"1241","Ecuador",2005,8.15,4.79
"1242","Ecuador",2006,7.79,4.13
"1243","Ecuador",2007,7.51,4.56
"1244","Ecuador",2008,7.87,4.16
"1245","Ecuador",2009,7.66,4.68
"1246","Ecuador",2010,8.08,4.51
"1247","Ecuador",2011,7.96,4.74
"1248","Ecuador",2012,7.58,4.9
"1249","Ecuador",2013,6.34,3.92
"1250","Ecuador",2014,6.21,4.7
"1251","Ecuador",2015,6.37,4.09
"1252","Ecuador",2016,5.7,4.51
"1253","Ecuador",2017,6.35,4.9
"1254","Ecuador",2018,6.18,4.07
"1255","Ecuador",2019,6.99,4.5
"1256","Ecuador",2020,5.29,3.82
"1274","Egypt",2000,4.62,1.59
"1275","Egypt",2001,5.63,1.91
"1276","Egypt",2002,5.68,1.94
"1277","Egypt",2003,6.14,2.09
"1278","Egypt",2004,6.67,2.53
"1279","Egypt",2005,6.81,2.69
"1280","Egypt",2006,6.85,2.56
"1281","Egypt",2007,6.73,2.52
"1282","Egypt",2008,7.24,2.94
"1283","Egypt",2009,7.38,3.05
"1284","Egypt",2010,7.67,3.21
"1285","Egypt",2011,8.05,3.18
"1286","Egypt",2012,7.72,3.37
"1287","Egypt",2013,8.36,3.06
"1288","Egypt",2014,8.47,3.93
"1289","Egypt",2015,8.53,3.89
"1290","Egypt",2016,8.45,3.85
"1291","Egypt",2017,8.26,4.49
"1292","Egypt",2018,8.59,4.31
"1293","Egypt",2019,6.96,2.96
"1303","El Salvador",2000,5.35,4.25
"1304","El Salvador",2001,5.94,4.44
"1305","El Salvador",2002,6.57,3.63
"1306","El Salvador",2003,6.03,4.52
"1307","El Salvador",2004,4.88,4.39
"1308","El Salvador",2005,5.66,4.41
"1309","El Salvador",2006,5.79,4.24
"1310","El Salvador",2007,5.14,4.1
"1311","El Salvador",2008,6.04,3.68
"1312","El Salvador",2009,4.03,3.47
"1313","El Salvador",2010,4.69,3.74
"1314","El Salvador",2011,5.29,3.97
"1315","El Salvador",2012,5.59,3.95
"1316","El Salvador",2013,5.67,3.68
"1317","El Salvador",2014,4.9,3.68
"1318","El Salvador",2015,3.76,2.54
"1319","El Salvador",2016,3.89,2.77
"1320","El Salvador",2017,2.94,2.34
"1321","El Salvador",2018,3.17,2.44
"1339","Estonia",2000,66.37,8.14
"1340","Estonia",2001,65.94,8.76
"1341","Estonia",2002,65.63,8.58
"1342","Estonia",2003,67.53,8.53
"1343","Estonia",2004,59.44,10.11
"1344","Estonia",2005,57.4,9.28
"1345","Estonia",2006,63.88,9.75
"1346","Estonia",2007,63.96,8.54
"1347","Estonia",2008,62.18,9.13
"1348","Estonia",2009,52.55,8.55
"1349","Estonia",2010,55.03,8.35
"1350","Estonia",2011,53.07,9.75
"1351","Estonia",2012,55.02,10.17
"1352","Estonia",2013,50.2,10.76
"1353","Estonia",2014,54.34,10.54
"1354","Estonia",2015,50.95,10.1
"1355","Estonia",2016,46.53,11.02
"1356","Estonia",2017,45.75,9.05
"1357","Estonia",2018,47.97,9.13
"1358","Estonia",2019,43.61,9.71
"1359","Estonia",2020,43.74,7.18
"1361","Fiji",2001,7.85,3.53
"1362","Fiji",2002,4.32,1.14
"1363","Fiji",2003,6.32,3.02
"1364","Fiji",2004,8.05,3.88
"1365","Fiji",2005,6.92,2.14
"1366","Fiji",2006,10.02,4.46
"1367","Fiji",2007,9.04,6.29
"1368","Fiji",2008,2.79,2.67
"1369","Fiji",2009,6.09,5.22
"1370","Fiji",2011,10.48,5.67
"1371","Fiji",2012,6.86,3.77
"1420","Finland",2000,39.11,8.79
"1421","Finland",2001,38.73,9.29
"1422","Finland",2002,37,9.12
"1423","Finland",2003,36.5,9.79
"1424","Finland",2004,34.76,9.09
"1425","Finland",2005,34.85,9.68
"1426","Finland",2006,34.88,9.52
"1427","Finland",2007,33.94,10.28
"1428","Finland",2008,31.25,10.62
"1429","Finland",2009,31.43,10.17
"1430","Finland",2010,32.92,10.96
"1431","Finland",2011,29.88,10.93
"1432","Finland",2012,28.92,11.52
"1433","Finland",2013,29.27,11.35
"1434","Finland",2014,26.24,11.75
"1435","Finland",2015,26.89,11.45
"1436","Finland",2016,26.68,11.5
"1437","Finland",2017,26.13,11.02
"1438","Finland",2018,24.83,11.27
"1439","Finland",2019,24.79,11.11
"1490","France",2000,50.46,8.19
"1491","France",2001,49.72,8.49
"1492","France",2002,49.26,9.24
"1493","France",2003,48.44,9.89
"1494","France",2004,48.44,10.14
"1495","France",2005,48.66,10.81
"1496","France",2006,47.76,11.25
"1497","France",2007,47.14,11.29
"1498","France",2008,45.92,11.84
"1499","France",2009,45.8,12.33
"1500","France",2010,44.47,12.36
"1501","France",2011,44.02,12.56
"1502","France",2012,42.69,13.37
"1503","France",2013,41.77,12.78
"1504","France",2014,41.41,13.96
"1505","France",2015,40.95,13.91
"1506","France",2016,39.31,13.8
"1519","French Guiana",2001,24.7,10
"1520","French Guiana",2002,17.52,7.78
"1521","French Guiana",2003,23.66,2.15
"1522","French Guiana",2004,21.66,12.27
"1523","French Guiana",2005,15.53,1.67
"1524","French Guiana",2006,12.23,3.17
"1525","French Guiana",2007,17.27,7.16
"1526","French Guiana",2008,14.71,2.65
"1527","French Guiana",2009,8.15,6.15
"1528","French Guiana",2010,15.99,9.85
"1529","French Guiana",2011,7.95,5.57
"1530","French Guiana",2012,30.39,8.66
"1531","French Guiana",2013,13.34,3.6
"1532","French Guiana",2014,20.2,6.24
"1533","French Guiana",2015,31.76,8.91
"1534","French Guiana",2016,17.74,5.47
"1551","Georgia",2000,26.06,5.12
"1552","Georgia",2001,26.72,4.8
"1553","Georgia",2004,28.85,5.99
"1554","Georgia",2005,19.48,4.44
"1555","Georgia",2006,17.66,2.95
"1556","Georgia",2007,15.93,2.23
"1557","Georgia",2009,24.49,3.66
"1558","Georgia",2010,11.93,1.81
"1559","Georgia",2011,23.05,3.04
"1560","Georgia",2012,25.99,2.96
"1561","Georgia",2013,25.62,2.25
"1562","Georgia",2014,33.35,3.97
"1563","Georgia",2015,35.98,4.28
"1564","Georgia",2016,38.97,3.68
"1565","Georgia",2017,37.34,4.04
"1566","Georgia",2018,39.3,4.99
"1567","Georgia",2019,37.76,4.18
"1568","Georgia",2020,37.7,5.64
"1579","Germany",2000,47.56,12.05
"1580","Germany",2001,45.36,12.12
"1581","Germany",2002,44.6,12.55
"1582","Germany",2003,43.51,12.71
"1583","Germany",2004,42.51,13.09
"1584","Germany",2005,41.63,13.75
"1585","Germany",2006,40.78,13.83
"1586","Germany",2007,40.05,14.21
"1587","Germany",2008,39.71,14.71
"1588","Germany",2009,38.42,14.76
"1589","Germany",2010,37.8,15.15
